# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.18 5.54326e-06 5.3184e-05
2 0.54 1.65309e-05 0.000211776
3 0.9 2.6973e-05 0.00047056
4 1.26 3.87622e-05 0.000842432
5 1.62 5.04868e-05 0.00132678
6 1.98 6.16178e-05 0.00191795
7 2.34 7.31643e-05 0.00261987
8 2.7 8.53698e-05 0.00343885
9 3.06 9.84836e-05 0.00438365
10 3.42 0.000112824 0.00546608
11 3.78 0.000127024 0.0066847
12 4.14 0.000143527 0.0080616
13 4.5 0.000157432 0.00957194
14 4.86 0.000173731 0.0112386
15 5.22 0.000192626 0.0130866
16 5.58 0.000211377 0.0151144
17 5.94 0.000231733 0.0173376
18 6.3 0.000254666 0.0197808
19 6.66 0.000275726 0.022426
20 7.02 0.000303102 0.0253338
21 7.38 0.000331628 0.0285153
22 7.74 0.000361242 0.031981
23 8.1 0.000397042 0.0357901
24 8.46 0.000432194 0.0399365
25 8.82 0.00047303 0.0444747
26 9.18 0.000518827 0.0494522
27 9.54 0.00056443 0.0548672
28 9.9 0.000616529 0.0607821
29 10.26 0.000669424 0.0672043
30 10.62 0.000723026 0.0741408
31 10.98 0.000780059 0.0816244
32 11.34 0.000837855 0.0896626
33 11.7 0.000892979 0.0982297
34 12.06 0.000958087 0.107421
35 12.42 0.0010172 0.11718
36 12.78 0.00107947 0.127537
37 13.14 0.00114038 0.138477
38 13.5 0.00119967 0.149987
39 13.86 0.00125745 0.162051
40 14.22 0.00132006 0.174715
41 14.58 0.00138784 0.18803
42 14.94 0.0014491 0.201933
43 15.3 0.00151569 0.216474
44 15.66 0.00158957 0.231725
45 16.02 0.00166857 0.247733
46 16.38 0.00174936 0.264516
47 16.74 0.00183918 0.282161
48 17.1 0.00194107 0.300783
49 17.46 0.00204171 0.320371
50 17.82 0.00216536 0.341145
51 18.18 0.00228508 0.363068
52 18.54 0.00242487 0.386332
53 18.9 0.00257601 0.411046
54 19.26 0.00274724 0.437402
55 19.62 0.00292362 0.465451
56 19.98 0.0031172 0.495357
57 20.34 0.00332085 0.527218
58 20.7 0.00353555 0.561137
59 21.06 0.00377197 0.597325
60 21.42 0.00401456 0.635841
61 21.78 0.00427062 0.676813
62 22.14 0.00454022 0.720371
63 22.5 0.00481992 0.766613
64 22.86 0.00511031 0.815641
65 23.22 0.00542429 0.867682
66 23.58 0.00573724 0.922724
67 23.94 0.00606655 0.980927
68 24.3 0.00640968 1.04242
69 24.66 0.00678937 1.10756
70 25.02 0.00717959 1.17644
71 25.38 0.00761252 1.24947
72 25.74 0.00809892 1.32717
73 26.1 0.00867829 1.41043
74 26.46 0.00937607 1.50038
75 26.82 0.0102395 1.59862
76 27.18 0.0113622 1.70763
77 27.54 0.0128451 1.83086
78 27.9 0.0148005 1.97286
79 28.26 0.0172998 2.13883
80 28.62 0.0202196 2.33282
81 28.98 0.0232707 2.55608
82 29.34 0.0260961 2.80645
83 29.7 0.028401 3.07893
84 30.06 0.029944 3.36621
85 30.42 0.0306886 3.66064
86 30.78 0.0306684 3.95488
87 31.14 0.0300176 4.24287
88 31.5 0.0288761 4.51991
89 31.86 0.0274445 4.78321
90 32.22 0.0258306 5.03103
91 32.58 0.024145 5.26268
92 32.94 0.022477 5.47832
93 33.3 0.0208388 5.67825
94 33.66 0.0192675 5.8631
95 34.02 0.0177527 6.03342
96 34.38 0.016313 6.18993
97 34.74 0.014933 6.3332
98 35.1 0.0136312 6.46398
99 35.46 0.0124035 6.58297
100 35.82 0.0112552 6.69096
101 36.18 0.0101973 6.78879
102 36.54 0.0092222 6.87727
103 36.9 0.00831647 6.95706
104 37.26 0.00748713 7.02889
105 37.62 0.00672365 7.0934
106 37.98 0.00602552 7.1512
107 38.34 0.0053952 7.20297
108 38.7 0.00482278 7.24924
109 39.06 0.0043048 7.29054
110 39.42 0.00384963 7.32747
111 39.78 0.00344204 7.36049
112 40.14 0.00308301 7.39007
113 40.5 0.00277011 7.41665
114 40.86 0.0025019 7.44065
115 41.22 0.00227683 7.46249
116 41.58 0.00207878 7.48244
117 41.94 0.00192382 7.50089
118 42.3 0.0017955 7.51812
119 42.66 0.00169661 7.53439
120 43.02 0.0016204 7.54994
121 43.38 0.00157065 7.56501
122 43.74 0.00155201 7.5799
123 44.1 0.00155293 7.5948
124 44.46 0.00159264 7.61008
125 44.82 0.00165143 7.62592
126 45.18 0.00173939 7.64261
127 45.54 0.0018562 7.66042
128 45.9 0.00199104 7.67952
129 46.26 0.00213258 7.69998
130 46.62 0.00228418 7.72189
131 46.98 0.00242937 7.7452
132 47.34 0.00256097 7.76977
133 47.7 0.00267075 7.79539
134 48.06 0.00275037 7.82178
135 48.42 0.0027977 7.84862
136 48.78 0.00280596 7.87554
137 49.14 0.00276938 7.90211
138 49.5 0.00270438 7.92805
139 49.86 0.00260083 7.95301
140 50.22 0.00246827 7.97669
141 50.58 0.00232544 7.999
142 50.94 0.00217414 8.01985
143 51.3 0.00201407 8.03918
144 51.66 0.00186833 8.0571
145 52.02 0.00172578 8.07366
146 52.38 0.00159113 8.08892
147 52.74 0.00147297 8.10306
148 53.1 0.00137169 8.11621
149 53.46 0.00127885 8.12848
150 53.82 0.00120999 8.14009
151 54.18 0.00114574 8.15108
152 54.54 0.00109208 8.16156
153 54.9 0.00105194 8.17165
154 55.26 0.00102296 8.18147
155 55.62 0.00100205 8.19108
156 55.98 0.000984878 8.20053
157 56.34 0.000977399 8.20991
158 56.7 0.000976735 8.21928
159 57.06 0.000979195 8.22867
160 57.42 0.000991455 8.23818
161 57.78 0.00100477 8.24782
162 58.14 0.00102794 8.25769
163 58.5 0.00105155 8.26777
164 58.86 0.00107965 8.27813
165 59.22 0.00111017 8.28878
166 59.58 0.00114877 8.2998
167 59.94 0.00118785 8.3112
168 60.3 0.00123202 8.32302
169 60.66 0.00127108 8.33522
170 61.02 0.00131509 8.34783
171 61.38 0.00135956 8.36088
172 61.74 0.0014103 8.37441
173 62.1 0.00145592 8.38838
174 62.46 0.00150058 8.40277
175 62.82 0.00155143 8.41766
176 63.18 0.00160164 8.43302
177 63.54 0.00164706 8.44883
178 63.9 0.00169741 8.46511
179 64.26 0.00174457 8.48185
180 64.62 0.00179077 8.49903
181 64.98 0.00183639 8.51665
182 65.34 0.0018866 8.53475
183 65.7 0.00193243 8.55329
184 66.06 0.00198602 8.57234
185 66.42 0.00204198 8.59193
186 66.78 0.00209292 8.61201
187 67.14 0.00215712 8.63271
188 67.5 0.00222952 8.6541
189 67.86 0.00229453 8.67611
190 68.22 0.00237402 8.69889
191 68.58 0.00245222 8.72241
192 68.94 0.00253593 8.74674
193 69.3 0.00262329 8.77191
194 69.66 0.00270469 8.79786
195 70.02 0.00279243 8.82465
196 70.38 0.00287743 8.85226
197 70.74 0.00295187 8.88058
198 71.1 0.00303916 8.90973
199 71.46 0.00311171 8.93959
200 71.82 0.00318681 8.97016
201 72.18 0.00325821 9.00142
202 72.54 0.00333772 9.03344
203 72.9 0.00340525 9.06611
204 73.26 0.00348191 9.09952
205 73.62 0.00356427 9.13372
206 73.98 0.00364918 9.16873
207 74.34 0.00373306 9.20454
208 74.7 0.00382897 9.24128
209 75.06 0.00392175 9.2789
210 75.42 0.00402196 9.31749
211 75.78 0.00412435 9.35706
212 76.14 0.00422253 9.39757
213 76.5 0.00433037 9.43911
214 76.86 0.00445946 9.4819
215 77.22 0.00456411 9.52569
216 77.58 0.00467897 9.57058
217 77.94 0.00482049 9.61683
218 78.3 0.00495452 9.66436
219 78.66 0.00509183 9.71321
220 79.02 0.00525112 9.76359
221 79.38 0.00540206 9.81542
222 79.74 0.00558352 9.86899
223 80.1 0.0057598 9.92425
224 80.46 0.00595839 9.98141
225 80.82 0.00615531 10.0405
226 81.18 0.00638875 10.1018
227 81.54 0.0066197 10.1653
228 81.9 0.00686347 10.2311
229 82.26 0.0071164 10.2994
230 82.62 0.00739816 10.3704
231 82.98 0.007683 10.4441
232 83.34 0.00798811 10.5207
233 83.7 0.00830226 10.6004
234 84.06 0.0086356 10.6832
235 84.42 0.00896783 10.7693
236 84.78 0.00929283 10.8584
237 85.14 0.0096467 10.951
238 85.5 0.00997782 11.0467
239 85.86 0.0103284 11.1458
240 86.22 0.0106554 11.248
241 86.58 0.0109736 11.3533
242 86.94 0.0112683 11.4614
243 87.3 0.0115556 11.5723
244 87.66 0.0118132 11.6856
245 88.02 0.0120458 11.8012
246 88.38 0.0122413 11.9186
247 88.74 0.0124066 12.0377
248 89.1 0.0125308 12.1579
249 89.46 0.0126013 12.2788
250 89.82 0.0126565 12.4002
251 90.18 0.0126661 12.5217
252 90.54 0.0126561 12.6431
253 90.9 0.0125893 12.7639
254 91.26 0.0125021 12.8839
255 91.62 0.012388 13.0027
256 91.98 0.0122336 13.1201
257 92.34 0.0120716 13.2359
258 92.7 0.0118676 13.3498
259 93.06 0.0116635 13.4617
260 93.42 0.0114311 13.5713
261 93.78 0.0111966 13.6788
262 94.14 0.0109545 13.7839
263 94.5 0.0107045 13.8866
264 94.86 0.0104608 13.9869
265 95.22 0.0102112 14.0849
266 95.58 0.00996875 14.1805
267 95.94 0.00975404 14.2741
268 96.3 0.00952818 14.3655
269 96.66 0.00932627 14.455
270 97.02 0.00913845 14.5427
271 97.38 0.0089621 14.6287
272 97.74 0.00879228 14.713
273 98.1 0.00864482 14.7959
274 98.46 0.00850386 14.8775
275 98.82 0.00839004 14.958
276 99.18 0.00827698 15.0374
277 99.54 0.00817742 15.1159
278 99.9 0.00809241 15.1935
279 100.26 0.00801393 15.2704
280 100.62 0.00793521 15.3465
281 100.98 0.0078849 15.4222
282 101.34 0.00784232 15.4974
283 101.7 0.0078026 15.5723
284 102.06 0.00778338 15.647
285 102.42 0.00775505 15.7214
286 102.78 0.00773603 15.7956
287 103.14 0.00773247 15.8698
288 103.5 0.00773793 15.944
289 103.86 0.00774128 16.0183
290 104.22 0.00774115 16.0925
