# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.18 0.000217447 0.950445
2 0.54 0.000553197 3.36842
3 0.9 0.000665599 6.27768
4 1.26 0.000571563 8.77591
5 1.62 0.000384115 10.4548
6 1.98 0.000209272 11.3695
7 2.34 9.40426e-05 11.7805
8 2.7 3.52578e-05 11.9346
9 3.06 1.13115e-05 11.984
10 3.42 5.66682e-06 12.0088
11 3.78 2.28171e-05 12.1085
12 4.14 0.000111758 12.597
13 4.5 0.00033879 14.0778
14 4.86 0.000614399 16.7633
15 5.22 0.00066119 19.6533
16 5.58 0.000418412 21.4821
17 5.94 0.000154886 22.1591
18 6.3 3.33937e-05 22.3051
19 6.66 4.18672e-06 22.3234
20 7.02 3.79234e-07 22.325
21 7.38 5.62728e-07 22.3275
22 7.74 3.08772e-06 22.341
23 8.1 1.35163e-05 22.4
24 8.46 4.65449e-05 22.6035
25 8.82 0.000125208 23.1507
26 9.18 0.000262182 24.2967
27 9.54 0.000427964 26.1673
28 9.9 0.000542455 28.5383
29 10.26 0.000533625 30.8707
30 10.62 0.000409441 32.6603
31 10.98 0.000254749 33.7738
32 11.34 0.000155659 34.4541
33 11.7 0.000166113 35.1802
34 12.06 0.0003857 36.866
35 12.42 0.00107219 41.5523
36 12.78 0.00229237 51.572
37 13.14 0.00322543 65.6699
38 13.5 0.00306744 79.0773
39 13.86 0.00242822 89.6907
40 14.22 0.00230385 99.7605
41 14.58 0.00277457 111.888
42 14.94 0.00324825 126.086
43 15.3 0.00359315 141.791
44 15.66 0.00384434 158.594
45 16.02 0.0034256 173.567
46 16.38 0.00300024 186.68
47 16.74 0.00344142 201.722
48 17.1 0.0037843 218.263
49 17.46 0.00337595 233.019
50 17.82 0.00291561 245.762
51 18.18 0.00281727 258.076
52 18.54 0.00302379 271.293
53 18.9 0.00344473 286.349
54 19.26 0.00369401 302.495
55 19.62 0.00337345 317.24
56 19.98 0.00277336 329.362
57 20.34 0.00229874 339.41
58 20.7 0.00182947 347.406
59 21.06 0.00125931 352.91
60 21.42 0.000771246 356.281
61 21.78 0.000491818 358.431
62 22.14 0.00036812 360.04
63 22.5 0.000306509 361.38
64 22.86 0.000260277 362.517
65 23.22 0.000239111 363.562
66 23.58 0.000327168 364.992
67 23.94 0.000716846 368.126
68 24.3 0.00164841 375.33
69 24.66 0.0031216 388.975
70 25.02 0.00462099 409.172
71 25.38 0.00553264 433.355
72 25.74 0.00565676 458.08
73 26.1 0.00523501 480.961
74 26.46 0.00472927 501.632
75 26.82 0.0042271 520.108
76 27.18 0.00378163 536.637
77 27.54 0.00364437 552.566
78 27.9 0.00392732 569.732
79 28.26 0.00472092 590.366
80 28.62 0.0058951 616.133
81 28.98 0.00732601 648.154
82 29.34 0.00910357 687.944
83 29.7 0.010572 734.153
84 30.06 0.0106054 780.508
85 30.42 0.0093273 821.277
86 30.78 0.00802566 856.356
87 31.14 0.00732738 888.383
88 31.5 0.00668194 917.588
89 31.86 0.00563845 942.233
90 32.22 0.0045634 962.179
91 32.58 0.0039702 979.532
92 32.94 0.00396704 996.872
93 33.3 0.00438994 1016.06
94 33.66 0.00494503 1037.67
95 34.02 0.00531621 1060.91
96 34.38 0.00544719 1084.72
97 34.74 0.0055481 1108.97
98 35.1 0.00557324 1133.33
99 35.46 0.00514651 1155.82
100 35.82 0.00429657 1174.6
101 36.18 0.00363617 1190.5
102 36.54 0.00352498 1205.9
103 36.9 0.00355647 1221.45
104 37.26 0.00324755 1235.64
105 37.62 0.00276658 1247.74
106 37.98 0.00244115 1258.41
107 38.34 0.00222061 1268.11
108 38.7 0.00202552 1276.96
109 39.06 0.00203997 1285.88
110 39.42 0.0024478 1296.58
111 39.78 0.0031731 1310.45
112 40.14 0.00402206 1328.03
113 40.5 0.00502025 1349.97
114 40.86 0.00638697 1377.89
115 41.22 0.00782869 1412.11
116 41.58 0.00832471 1448.49
117 41.94 0.00743117 1480.97
118 42.3 0.00609404 1507.61
119 42.66 0.00536927 1531.08
120 43.02 0.00528626 1554.18
121 43.38 0.00534285 1577.54
122 43.74 0.00528825 1600.65
123 44.1 0.00507836 1622.85
124 44.46 0.00470951 1643.43
125 44.82 0.00440523 1662.69
126 45.18 0.00459141 1682.75
127 45.54 0.00544172 1706.54
128 45.9 0.00649835 1734.94
129 46.26 0.00707689 1765.88
130 46.62 0.00720728 1797.38
131 46.98 0.00764452 1830.79
132 47.34 0.0086688 1868.68
133 47.7 0.00942657 1909.88
134 48.06 0.00915493 1949.9
135 48.42 0.00840391 1986.63
136 48.78 0.00828791 2022.86
137 49.14 0.00914694 2062.84
138 49.5 0.0102328 2107.56
139 49.86 0.0103724 2152.9
140 50.22 0.009104 2192.69
141 50.58 0.0071969 2224.15
142 50.94 0.00569177 2249.02
143 51.3 0.00479588 2269.99
144 51.66 0.00402666 2287.59
145 52.02 0.00309037 2301.09
146 52.38 0.0022387 2310.88
147 52.74 0.00188788 2319.13
148 53.1 0.00221551 2328.81
149 53.46 0.00329206 2343.2
150 53.82 0.00522594 2366.05
151 54.18 0.00768436 2399.63
152 54.54 0.00952676 2441.27
153 54.9 0.00975851 2483.93
154 55.26 0.00875208 2522.18
155 55.62 0.00776094 2556.1
156 55.98 0.00743175 2588.59
157 56.34 0.00748545 2621.3
158 56.7 0.00740975 2653.69
159 57.06 0.00694508 2684.05
160 57.42 0.00614308 2710.9
161 57.78 0.00535615 2734.31
162 58.14 0.00510645 2756.63
163 58.5 0.00571159 2781.59
164 58.86 0.00704741 2812.39
165 59.22 0.00877116 2850.73
166 59.58 0.0106703 2897.37
167 59.94 0.0126087 2952.48
168 60.3 0.0142544 3014.79
169 60.66 0.0150717 3080.66
170 61.02 0.0146625 3144.75
171 61.38 0.0130822 3201.93
172 61.74 0.0108203 3249.23
173 62.1 0.0085395 3286.55
174 62.46 0.00688003 3316.62
175 62.82 0.00623766 3343.89
176 63.18 0.00663313 3372.88
177 63.54 0.007799 3406.97
178 63.9 0.00932856 3447.74
179 64.26 0.0107187 3494.59
180 64.62 0.0114141 3544.48
181 64.98 0.0111391 3593.17
182 65.34 0.0100786 3637.22
183 65.7 0.00861196 3674.86
184 66.06 0.00700664 3705.49
185 66.42 0.00550256 3729.54
186 66.78 0.00437614 3748.66
187 67.14 0.00381287 3765.33
188 67.5 0.0037906 3781.9
189 67.86 0.00409725 3799.81
190 68.22 0.00442616 3819.15
191 68.58 0.00449472 3838.8
192 68.94 0.00419821 3857.15
193 69.3 0.00371878 3873.4
194 69.66 0.00343758 3888.43
195 70.02 0.00370328 3904.61
196 70.38 0.0046135 3924.78
197 70.74 0.00592964 3950.7
198 71.1 0.00718818 3982.11
199 71.46 0.00807037 4017.39
200 71.82 0.0086677 4055.27
201 72.18 0.00927173 4095.8
202 72.54 0.0099485 4139.28
203 72.9 0.0104954 4185.16
204 73.26 0.0106769 4231.83
205 73.62 0.0104012 4277.29
206 73.98 0.00980314 4320.14
207 74.34 0.00922474 4360.46
208 74.7 0.00900211 4399.8
209 75.06 0.00926849 4440.31
210 75.42 0.00989985 4483.58
211 75.78 0.0106231 4530.02
212 76.14 0.0111894 4578.92
213 76.5 0.011536 4629.35
214 76.86 0.0116841 4680.42
215 77.22 0.0116087 4731.16
216 77.58 0.0112777 4780.45
217 77.94 0.0107956 4827.64
218 78.3 0.0103084 4872.69
219 78.66 0.00982343 4915.63
220 79.02 0.00924605 4956.04
221 79.38 0.00860987 4993.67
