# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.18 0.00280594 0.748512
2 0.54 0.00702314 2.622
3 0.9 0.00859185 4.91396
4 1.26 0.00838185 7.1499
5 1.62 0.00742265 9.12997
6 1.98 0.00629372 10.8089
7 2.34 0.00518963 12.1933
8 2.7 0.00425334 13.3279
9 3.06 0.00345548 14.2497
10 3.42 0.00280675 14.9984
11 3.78 0.00225802 15.6007
12 4.14 0.00182669 16.088
13 4.5 0.00145939 16.4773
14 4.86 0.00118472 16.7934
15 5.22 0.000953292 17.0477
16 5.58 0.000764718 17.2517
17 5.94 0.00061363 17.4154
18 6.3 0.00048763 17.5454
19 6.66 0.000383476 17.6477
20 7.02 0.000304543 17.729
21 7.38 0.000239556 17.7929
22 7.74 0.000189804 17.8435
23 8.1 0.000148418 17.8831
24 8.46 0.000133543 17.9187
25 8.82 0.000170985 17.9643
26 9.18 0.000351147 18.058
27 9.54 0.000894362 18.2966
28 9.9 0.00228283 18.9056
29 10.26 0.00506535 20.2568
30 10.62 0.00854649 22.5367
31 10.98 0.01024 25.2683
32 11.34 0.00853337 27.5446
33 11.7 0.00518066 28.9266
34 12.06 0.0026103 29.623
35 12.42 0.00149771 30.0225
36 12.78 0.00169823 30.4755
37 13.14 0.0036655 31.4533
38 13.5 0.00783388 33.5431
39 13.86 0.0113357 36.567
40 14.22 0.0102193 39.2931
41 14.58 0.00642344 41.0066
42 14.94 0.00397169 42.0661
43 15.3 0.00387436 43.0996
44 15.66 0.00747561 45.0938
45 16.02 0.0123449 48.3869
46 16.38 0.0106018 51.2151
47 16.74 0.00572001 52.741
48 17.1 0.00331186 53.6244
49 17.46 0.0025643 54.3085
50 17.82 0.00267559 55.0222
51 18.18 0.00433527 56.1787
52 18.54 0.00842233 58.4254
53 18.9 0.0131057 61.9215
54 19.26 0.0139596 65.6454
55 19.62 0.0102802 68.3877
56 19.98 0.00573831 69.9185
57 20.34 0.00295805 70.7076
58 20.7 0.00170373 71.162
59 21.06 0.00113026 71.4636
60 21.42 0.000776698 71.6707
61 21.78 0.000512296 71.8074
62 22.14 0.000320108 71.8928
63 22.5 0.000189549 71.9434
64 22.86 0.000102444 71.9707
65 23.22 5.64552e-05 71.9858
66 23.58 2.83401e-05 71.9933
67 23.94 1.45449e-05 71.9972
68 24.3 6.74764e-06 71.999
69 24.66 6.10286e-06 72.0006
70 25.02 2.13225e-05 72.0063
71 25.38 0.000118804 72.038
72 25.74 0.000524802 72.178
73 26.1 0.00164098 72.6157
74 26.46 0.00361284 73.5795
75 26.82 0.00576467 75.1173
76 27.18 0.00721002 77.0406
77 27.54 0.00762755 79.0754
78 27.9 0.00713671 80.9791
79 28.26 0.00681252 82.7965
80 28.62 0.00873565 85.1268
81 28.98 0.0148417 89.0859
82 29.34 0.025482 95.8835
83 29.7 0.0368962 105.726
84 30.06 0.0413634 116.76
85 30.42 0.0353487 126.19
86 30.78 0.0240566 132.607
87 31.14 0.0142195 136.4
88 31.5 0.00791188 138.511
89 31.86 0.00431918 139.663
90 32.22 0.00234418 140.288
91 32.58 0.00125704 140.624
92 32.94 0.000675589 140.804
93 33.3 0.000364238 140.901
94 33.66 0.000187884 140.951
95 34.02 9.62963e-05 140.977
96 34.38 4.73984e-05 140.989
97 34.74 2.20273e-05 140.995
98 35.1 1.02564e-05 140.998
99 35.46 4.70838e-06 140.999
100 35.82 5.32314e-06 141.001
101 36.18 2.28221e-05 141.007
102 36.54 0.000104034 141.035
103 36.9 0.000349393 141.128
104 37.26 0.00087172 141.36
105 37.62 0.0016078 141.789
106 37.98 0.00222129 142.382
107 38.34 0.00234316 143.007
108 38.7 0.00197698 143.534
109 39.06 0.00159225 143.959
110 39.42 0.00181882 144.444
111 39.78 0.00304532 145.257
112 40.14 0.00513486 146.626
113 40.5 0.00727565 148.567
114 40.86 0.00835691 150.796
115 41.22 0.00772699 152.858
116 41.58 0.00589514 154.43
117 41.94 0.00387793 155.465
118 42.3 0.00265031 156.172
119 42.66 0.00273881 156.902
120 43.02 0.00430706 158.051
121 43.38 0.00695787 159.907
122 43.74 0.00918202 162.357
123 44.1 0.00938835 164.861
124 44.46 0.00776106 166.932
125 44.82 0.00631434 168.616
126 45.18 0.00692789 170.464
127 45.54 0.00979494 173.077
128 45.9 0.0127299 176.473
129 46.26 0.0128454 179.899
130 46.62 0.00980807 182.516
131 46.98 0.00610784 184.145
132 47.34 0.00385869 185.174
133 47.7 0.00345929 186.097
134 48.06 0.00440428 187.272
135 48.42 0.00603247 188.881
136 48.78 0.00753539 190.892
137 49.14 0.00795931 193.015
138 49.5 0.00701612 194.886
139 49.86 0.00516368 196.264
140 50.22 0.00321173 197.121
141 50.58 0.00175854 197.59
142 50.94 0.000867402 197.821
143 51.3 0.00040033 197.928
144 51.66 0.000169411 197.973
145 52.02 7.17499e-05 197.992
146 52.38 4.52242e-05 198.004
147 52.74 0.000104574 198.032
148 53.1 0.000334608 198.121
149 53.46 0.000884151 198.357
150 53.82 0.00185976 198.853
151 54.18 0.00307502 199.674
152 54.54 0.00403086 200.749
153 54.9 0.00424825 201.882
154 55.26 0.0035733 202.835
155 55.62 0.00243285 203.484
156 55.98 0.00140561 203.859
157 56.34 0.000797826 204.072
158 56.7 0.000672965 204.252
159 57.06 0.000950353 204.505
160 57.42 0.00164428 204.944
161 57.78 0.00296892 205.736
162 58.14 0.00529745 207.149
163 58.5 0.0092376 209.613
164 58.86 0.0152515 213.682
165 59.22 0.0229653 219.808
166 59.58 0.0302476 227.877
167 59.94 0.0338645 236.91
168 60.3 0.0318652 245.411
169 60.66 0.0255584 252.229
170 61.02 0.0177646 256.968
171 61.38 0.0111598 259.945
172 61.74 0.00659542 261.704
173 62.1 0.00379346 262.716
174 62.46 0.00215664 263.291
175 62.82 0.00124287 263.623
176 63.18 0.000804544 263.837
177 63.54 0.000779952 264.046
178 63.9 0.00121177 264.369
179 64.26 0.00209582 264.928
180 64.62 0.00322114 265.787
181 64.98 0.00403545 266.864
182 65.34 0.00413375 267.966
183 65.7 0.0033721 268.866
184 66.06 0.00225002 269.466
185 66.42 0.0012187 269.791
186 66.78 0.0005299 269.933
187 67.14 0.000193672 269.984
188 67.5 8.0342e-05 270.006
189 67.86 8.31609e-05 270.028
190 68.22 0.000184391 270.077
191 68.58 0.00041561 270.188
192 68.94 0.000883881 270.424
193 69.3 0.00172417 270.884
194 69.66 0.00297788 271.678
195 70.02 0.00456715 272.896
196 70.38 0.00607312 274.516
197 70.74 0.00701903 276.389
198 71.1 0.00701896 278.261
199 71.46 0.00622091 279.921
200 71.82 0.00510531 281.283
201 72.18 0.00432066 282.435
202 72.54 0.00455613 283.651
203 72.9 0.00608748 285.274
204 73.26 0.00852002 287.547
205 73.62 0.010709 290.404
206 73.98 0.0113181 293.423
207 74.34 0.0102643 296.161
208 74.7 0.0085129 298.432
209 75.06 0.00750519 300.434
210 75.42 0.00769766 302.488
211 75.78 0.00834392 304.714
212 76.14 0.00836973 306.946
213 76.5 0.00731188 308.897
214 76.86 0.00569225 310.415
215 77.22 0.00437399 311.582
216 77.58 0.00386958 312.614
217 77.94 0.00429205 313.759
218 78.3 0.00525886 315.162
219 78.66 0.00620775 316.818
220 79.02 0.00663167 318.587
221 79.38 0.00630755 320.27
222 79.74 0.0053489 321.697
223 80.1 0.00417537 322.81
224 80.46 0.00312894 323.645
225 80.82 0.00246434 324.302
226 81.18 0.00214693 324.875
227 81.54 0.00197886 325.403
228 81.9 0.0018005 325.883
229 82.26 0.00153048 326.292
230 82.62 0.00113651 326.595
231 82.98 0.000746589 326.794
232 83.34 0.000425521 326.907
233 83.7 0.000218669 326.966
234 84.06 0.000104079 326.994
235 84.42 5.91844e-05 327.009
236 84.78 5.84345e-05 327.025
237 85.14 9.19928e-05 327.049
238 85.5 0.000155256 327.091
239 85.86 0.000276503 327.165
240 86.22 0.000476413 327.292
241 86.58 0.000809162 327.508
242 86.94 0.00136976 327.873
243 87.3 0.00229846 328.486
244 87.66 0.00381528 329.504
245 88.02 0.00623232 331.166
246 88.38 0.00985731 333.796
247 88.74 0.0148538 337.758
248 89.1 0.0206946 343.279
249 89.46 0.0260603 350.231
250 89.82 0.0291065 357.995
251 90.18 0.0286695 365.643
252 90.54 0.0250708 372.331
253 90.9 0.0199664 377.657
254 91.26 0.0151544 381.7
255 91.62 0.0117134 384.824
256 91.98 0.00963323 387.394
257 92.34 0.00828583 389.605
258 92.7 0.00708255 391.494
259 93.06 0.00576907 393.033
260 93.42 0.00435502 394.195
261 93.78 0.0029903 394.992
262 94.14 0.00186731 395.49
263 94.5 0.00104317 395.769
264 94.86 0.000513016 395.905
265 95.22 0.000232389 395.967
266 95.58 0.000108352 395.996
267 95.94 6.8991e-05 396.015
268 96.3 7.57236e-05 396.035
269 96.66 0.000112821 396.065
270 97.02 0.000176428 396.112
271 97.38 0.000276743 396.186
272 97.74 0.00042909 396.3
273 98.1 0.000655496 396.475
274 98.46 0.00103467 396.751
275 98.82 0.001664 397.195
276 99.18 0.00267715 397.909
277 99.54 0.00412005 399.008
278 99.9 0.00587225 400.575
279 100.26 0.00753299 402.584
280 100.62 0.00860599 404.88
281 100.98 0.00878163 407.223
282 101.34 0.00800677 409.359
283 101.7 0.00680318 411.173
284 102.06 0.00570464 412.695
285 102.42 0.00519642 414.081
286 102.78 0.00544767 415.535
287 103.14 0.00621444 417.192
288 103.5 0.00704515 419.072
289 103.86 0.00748705 421.069
290 104.22 0.00744421 423.055
291 104.58 0.00718241 424.971
292 104.94 0.00706541 426.856
293 105.3 0.00724227 428.787
294 105.66 0.00748232 430.783
295 106.02 0.00745235 432.771
296 106.38 0.00690651 434.614
297 106.74 0.0059685 436.206
298 107.1 0.0050201 437.545
299 107.46 0.00447327 438.738
300 107.82 0.00446583 439.93
301 108.18 0.00489579 441.236
302 108.54 0.00545314 442.69
303 108.9 0.00575599 444.226
304 109.26 0.00557382 445.713
305 109.62 0.00491783 447.025
306 109.98 0.00391976 448.07
307 110.34 0.00284032 448.828
308 110.7 0.00188369 449.33
309 111.06 0.0011573 449.639
310 111.42 0.000661134 449.816
311 111.78 0.000354476 449.91
312 112.14 0.00018514 449.959
313 112.5 9.4167e-05 449.985
314 112.86 4.95577e-05 449.998
315 113.22 3.27185e-05 450.007
316 113.58 3.39032e-05 450.016
317 113.94 4.64088e-05 450.028
318 114.3 7.33993e-05 450.048
319 114.66 0.000118099 450.079
320 115.02 0.000194407 450.131
321 115.38 0.000308667 450.213
322 115.74 0.000507888 450.349
323 116.1 0.000820258 450.568
324 116.46 0.00131242 450.918
325 116.82 0.00209639 451.477
326 117.18 0.0033195 452.362
327 117.54 0.00525935 453.765
328 117.9 0.00818297 455.948
329 118.26 0.0124094 459.259
330 118.62 0.0179324 464.042
331 118.98 0.0242255 470.505
332 119.34 0.029948 478.494
333 119.7 0.0334388 487.414
334 120.06 0.033499 496.35
335 120.42 0.0301391 504.39
336 120.78 0.024451 510.912
337 121.14 0.0181078 515.743
338 121.5 0.0124971 519.076
339 121.86 0.00822281 521.27
340 122.22 0.00522477 522.664
341 122.58 0.00330092 523.544
342 122.94 0.00206985 524.096
343 123.3 0.00129222 524.441
344 123.66 0.000799641 524.654
345 124.02 0.000496282 524.787
346 124.38 0.000306958 524.869
347 124.74 0.000189639 524.919
348 125.1 0.000118399 524.951
349 125.46 7.4239e-05 524.971
350 125.82 5.05773e-05 524.984
351 126.18 4.17454e-05 524.995
352 126.54 4.82832e-05 525.008
353 126.9 7.37742e-05 525.028
354 127.26 0.000137772 525.065
355 127.62 0.000260639 525.134
356 127.98 0.000464583 525.258
357 128.34 0.000800555 525.472
358 128.7 0.00131554 525.823
359 129.06 0.00203756 526.366
360 129.42 0.00289691 527.139
361 129.78 0.0038323 528.161
362 130.14 0.00467615 529.409
363 130.5 0.00525148 530.81
364 130.86 0.00546155 532.266
365 131.22 0.00531756 533.685
366 131.58 0.00501756 535.023
367 131.94 0.00480218 536.304
368 132.3 0.00486043 537.601
369 132.66 0.00528834 539.012
370 133.02 0.00595493 540.6
371 133.38 0.00664064 542.372
372 133.74 0.00708664 544.262
373 134.1 0.00725581 546.198
374 134.46 0.00721305 548.122
375 134.82 0.00720731 550.045
376 135.18 0.00726683 551.983
377 135.54 0.00734652 553.943
378 135.9 0.00728798 555.887
379 136.26 0.00698885 557.751
380 136.62 0.00649005 559.483
381 136.98 0.00605778 561.099
382 137.34 0.00592563 562.679
383 137.7 0.00621909 564.338
384 138.06 0.00684158 566.163
385 138.42 0.00748357 568.16
386 138.78 0.00779501 570.239
387 139.14 0.00760504 572.268
388 139.5 0.00679333 574.08
389 139.86 0.00558279 575.569
390 140.22 0.00424787 576.702
391 140.58 0.00299415 577.501
392 140.94 0.00200493 578.036
393 141.3 0.00129727 578.382
394 141.66 0.000834578 578.605
395 142.02 0.000538882 578.748
396 142.38 0.000362528 578.845
397 142.74 0.000245749 578.911
398 143.1 0.00018541 578.96
399 143.46 0.000173549 579.006
400 143.82 0.000216734 579.064
401 144.18 0.000343155 579.156
402 144.54 0.000607048 579.318
403 144.9 0.00104271 579.596
404 145.26 0.00171656 580.054
405 145.62 0.00263704 580.757
406 145.98 0.0037848 581.767
407 146.34 0.00510742 583.129
408 146.7 0.00655053 584.877
409 147.06 0.00807147 587.03
410 147.42 0.00971957 589.623
411 147.78 0.0116869 592.74
412 148.14 0.0140947 596.5
413 148.5 0.0169231 601.015
414 148.86 0.0199272 606.33
415 149.22 0.0224681 612.324
416 149.58 0.0239644 618.717
417 149.94 0.0236197 625.017
418 150.3 0.0216746 630.799
419 150.66 0.018357 635.696
420 151.02 0.0144726 639.557
421 151.38 0.0106369 642.394
422 151.74 0.00742383 644.375
423 152.1 0.00497286 645.701
424 152.46 0.00321964 646.56
425 152.82 0.00205811 647.109
426 153.18 0.00129153 647.454
427 153.54 0.000814695 647.671
428 153.9 0.000523062 647.811
429 154.26 0.000352092 647.905
430 154.62 0.000265917 647.976
431 154.98 0.000249348 648.042
432 155.34 0.000297376 648.121
433 155.7 0.000405488 648.23
434 156.06 0.000580237 648.384
435 156.42 0.000811021 648.601
436 156.78 0.00108049 648.889
437 157.14 0.00138743 649.259
438 157.5 0.00171603 649.717
439 157.86 0.00206707 650.268
440 158.22 0.00245098 650.922
441 158.58 0.00290673 651.697
442 158.94 0.00340222 652.605
443 159.3 0.00400212 653.673
444 159.66 0.00459342 654.898
445 160.02 0.00509468 656.257
446 160.38 0.0054597 657.713
447 160.74 0.00562039 659.213
448 161.1 0.00560198 660.707
449 161.46 0.00552474 662.181
450 161.82 0.00552323 663.654
451 162.18 0.00568174 665.17
452 162.54 0.00608103 666.792
453 162.9 0.00658801 668.55
454 163.26 0.00718862 670.467
455 163.62 0.00766713 672.512
456 163.98 0.00805691 674.662
457 164.34 0.00841416 676.906
458 164.7 0.00881896 679.259
459 165.06 0.00918861 681.71
460 165.42 0.00941369 684.221
461 165.78 0.00935686 686.717
462 166.14 0.0088513 689.078
463 166.5 0.00805575 691.227
464 166.86 0.00714019 693.132
465 167.22 0.0063512 694.826
466 167.58 0.00584442 696.385
467 167.94 0.00555568 697.867
468 168.3 0.00541585 699.312
469 168.66 0.00523843 700.709
470 169.02 0.0049117 702.02
471 169.38 0.00442276 703.2
472 169.74 0.00384008 704.224
473 170.1 0.00324797 705.09
474 170.46 0.00277566 705.831
475 170.82 0.00243791 706.481
476 171.18 0.00229463 707.093
477 171.54 0.00234253 707.718
478 171.9 0.00255161 708.399
479 172.26 0.00289094 709.17
480 172.62 0.0033467 710.063
481 172.98 0.00388762 711.1
482 173.34 0.00444341 712.285
483 173.7 0.00496422 713.609
484 174.06 0.00538604 715.046
485 174.42 0.00570039 716.567
486 174.78 0.00589978 718.141
487 175.14 0.0059996 719.741
488 175.5 0.00609249 721.366
489 175.86 0.00619901 723.02
490 176.22 0.00641728 724.732
491 176.58 0.00667471 726.512
492 176.94 0.00701833 728.385
493 177.3 0.00736727 730.35
494 177.66 0.00766228 732.394
495 178.02 0.00773287 734.457
496 178.38 0.0074772 736.451
497 178.74 0.00677079 738.257
498 179.1 0.00546514 739.715
499 179.46 0.00357565 740.669
500 179.82 0.00123893 741
