# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.006 0 0
2 0.018 0 0
3 0.03 0 0
4 0.042 0 0
5 0.054 0 0
6 0.066 0 0
7 0.078 0 0
8 0.09 0 0
9 0.102 0 0
10 0.114 0 0
11 0.126 0 0
12 0.138 0 0
13 0.15 0 0
14 0.162 0 0
15 0.174 0 0
16 0.186 0 0
17 0.198 0 0
18 0.21 0 0
19 0.222 0 0
20 0.234 0 0
21 0.246 0 0
22 0.258 0 0
23 0.27 0 0
24 0.282 0 0
25 0.294 0 0
26 0.306 0 0
27 0.318 0 0
28 0.33 0 0
29 0.342 0 0
30 0.354 0 0
31 0.366 0 0
32 0.378 0 0
33 0.39 0 0
34 0.402 0 0
35 0.414 0 0
36 0.426 0 0
37 0.438 0 0
38 0.45 0 0
39 0.462 0 0
40 0.474 0 0
41 0.486 0 0
42 0.498 0 0
43 0.51 0 0
44 0.522 0 0
45 0.534 0 0
46 0.546 0 0
47 0.558 0 0
48 0.57 0 0
49 0.582 0 0
50 0.594 0 0
51 0.606 0 0
52 0.618 0 0
53 0.63 0 0
54 0.642 0 0
55 0.654 0 0
56 0.666 0 0
57 0.678 0 0
58 0.69 0 0
59 0.702 0 0
60 0.714 0 0
61 0.726 0 0
62 0.738 0 0
63 0.75 0 0
64 0.762 0 0
65 0.774 0 0
66 0.786 0 0
67 0.798 0 0
68 0.81 0 0
69 0.822 0 0
70 0.834 0 0
71 0.846 0 0
72 0.858 0 0
73 0.87 0 0
74 0.882 0 0
75 0.894 0 0
76 0.906 0 0
77 0.918 0 0
78 0.93 0 0
79 0.942 0 0
80 0.954 0 0
81 0.966 0 0
82 0.978 0 0
83 0.99 0 0
84 1.002 0 0
85 1.014 0 0
86 1.026 0 0
87 1.038 0 0
88 1.05 0 0
89 1.062 0 0
90 1.074 0 0
91 1.086 0 0
92 1.098 0 0
93 1.11 0 0
94 1.122 0 0
95 1.134 0 0
96 1.146 0 0
97 1.158 0 0
98 1.17 0 0
99 1.182 0 0
100 1.194 3.13947e-05 6.08e-07
101 1.206 0.000458356 9.664e-06
102 1.218 0.00367117 8.3648e-05
103 1.23 0.0190644 0.000475456
104 1.242 0.0632969 0.00180182
105 1.254 0.141595 0.00482653
106 1.266 0.238273 0.0100143
107 1.278 0.325288 0.0172315
108 1.29 0.393443 0.0261255
109 1.302 0.471636 0.0369865
110 1.314 0.594763 0.0509364
111 1.326 0.791495 0.0698413
112 1.338 1.04667 0.0952955
113 1.35 1.35798 0.128916
114 1.362 1.74301 0.172839
115 1.374 2.27288 0.231128
116 1.386 3.02791 0.310142
117 1.398 4.04066 0.417419
118 1.41 5.24686 0.559121
119 1.422 6.46272 0.736643
120 1.434 7.45708 0.944951
121 1.446 8.03359 1.17313
122 1.458 8.10492 1.40718
123 1.47 7.71946 1.63378
124 1.482 6.98214 1.8421
125 1.494 6.06464 2.02598
126 1.506 5.10441 2.18325
127 1.518 4.20631 2.31491
128 1.53 3.41278 2.42344
129 1.542 2.75324 2.51237
130 1.554 2.2161 2.58507
131 1.566 1.78617 2.64457
132 1.578 1.4461 2.69349
133 1.59 1.17729 2.73392
134 1.602 0.964573 2.76755
135 1.614 0.797806 2.79578
136 1.626 0.666873 2.81973
137 1.638 0.562839 2.84024
138 1.65 0.479684 2.85798
139 1.662 0.41475 2.87355
140 1.674 0.355959 2.8871
141 1.686 0.310129 2.89907
142 1.698 0.269629 2.90963
143 1.71 0.231531 2.91883
144 1.722 0.201201 2.92693
145 1.734 0.172662 2.93399
146 1.746 0.149895 2.94019
147 1.758 0.129916 2.94565
148 1.77 0.114054 2.9505
149 1.782 0.100793 2.95485
150 1.794 0.0923898 2.95889
151 1.806 0.0862224 2.96271
152 1.818 0.083445 2.96646
153 1.83 0.0835177 2.97026
154 1.842 0.0881178 2.97432
155 1.854 0.094004 2.97871
156 1.866 0.102895 2.98357
157 1.878 0.112301 2.98895
158 1.89 0.123433 2.99494
159 1.902 0.133186 3.00149
160 1.914 0.141934 3.00855
161 1.926 0.148018 3.01601
162 1.938 0.151617 3.02375
163 1.95 0.151598 3.03158
164 1.962 0.149201 3.03938
165 1.974 0.143839 3.04699
166 1.986 0.135472 3.05425
167 1.998 0.127035 3.06114
168 2.01 0.117254 3.06757
169 2.022 0.10893 3.07362
170 2.034 0.100504 3.07927
171 2.046 0.0935566 3.08459
172 2.058 0.0875881 3.08963
173 2.07 0.0834749 3.09449
174 2.082 0.0819851 3.09932
175 2.094 0.0831121 3.10427
176 2.106 0.0874274 3.10954
177 2.118 0.096669 3.11543
178 2.13 0.111064 3.12227
179 2.142 0.129723 3.13036
180 2.154 0.153526 3.14003
181 2.166 0.180403 3.15153
182 2.178 0.208088 3.16494
183 2.19 0.235208 3.18026
184 2.202 0.259557 3.19736
185 2.214 0.280433 3.21603
186 2.226 0.298481 3.23613
187 2.238 0.314663 3.25754
188 2.25 0.33205 3.28037
189 2.262 0.353179 3.30492
190 2.274 0.376371 3.33136
191 2.286 0.405207 3.36012
192 2.298 0.439025 3.39162
193 2.31 0.479829 3.4264
194 2.322 0.528372 3.4651
195 2.334 0.585507 3.50842
196 2.346 0.654084 3.55733
197 2.358 0.735571 3.61288
198 2.37 0.830884 3.67628
199 2.382 0.942433 3.74892
200 2.394 1.07135 3.83233
201 2.406 1.21511 3.92788
202 2.418 1.3708 4.03676
203 2.43 1.5382 4.16014
204 2.442 1.70382 4.29817
205 2.454 1.86627 4.45084
206 2.466 2.01297 4.61713
207 2.478 2.14182 4.79578
208 2.49 2.24076 4.98451
209 2.502 2.30684 5.18068
210 2.514 2.34556 5.38205
211 2.526 2.36235 5.58682
212 2.538 2.35157 5.79258
213 2.55 2.31364 5.99695
214 2.562 2.26185 6.19863
215 2.574 2.19204 6.39592
216 2.586 2.11295 6.58786
217 2.598 2.0302 6.77401
218 2.61 1.94428 6.95393
219 2.622 1.86 7.12763
220 2.634 1.77513 7.29493
221 2.646 1.68925 7.4556
222 2.658 1.60174 7.60932
223 2.67 1.5114 7.75568
224 2.682 1.41877 7.89432
225 2.694 1.32868 8.02531
226 2.706 1.24346 8.149
227 2.718 1.16084 8.26549
228 2.73 1.08743 8.37559
229 2.742 1.02261 8.48003
230 2.754 0.965329 8.57949
231 2.766 0.916441 8.67473
232 2.778 0.875514 8.76652
233 2.79 0.841891 8.85554
234 2.802 0.814266 8.94238
235 2.814 0.790823 9.02745
236 2.826 0.772568 9.11126
237 2.838 0.756183 9.194
238 2.85 0.74346 9.27603
239 2.862 0.732822 9.35757
240 2.874 0.722117 9.4386
241 2.886 0.711916 9.51915
242 2.898 0.702322 9.59927
243 2.91 0.692781 9.67896
244 2.922 0.682899 9.75817
245 2.934 0.673849 9.83697
246 2.946 0.664222 9.91528
247 2.958 0.654367 9.99305
