# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.006 0 0
2 0.018 0 0
3 0.03 0 0
4 0.042 0 0
5 0.054 0 0
6 0.066 0 0
7 0.078 0 0
8 0.09 0 0
9 0.102 0 0
10 0.114 0 0
11 0.126 0 0
12 0.138 0 0
13 0.15 0 0
14 0.162 0 0
15 0.174 0 0
16 0.186 0 0
17 0.198 0 0
18 0.21 0 0
19 0.222 0 0
20 0.234 0 0
21 0.246 0 0
22 0.258 0 0
23 0.27 0 0
24 0.282 0 0
25 0.294 0 0
26 0.306 0 0
27 0.318 0 0
28 0.33 0 0
29 0.342 0 0
30 0.354 0 0
31 0.366 0 0
32 0.378 0 0
33 0.39 0 0
34 0.402 0 0
35 0.414 0 0
36 0.426 0 0
37 0.438 0 0
38 0.45 0 0
39 0.462 0 0
40 0.474 0 0
41 0.486 0 0
42 0.498 0 0
43 0.51 0 0
44 0.522 0 0
45 0.534 0 0
46 0.546 0 0
47 0.558 0 0
48 0.57 0 0
49 0.582 0 0
50 0.594 0 0
51 0.606 0 0
52 0.618 0 0
53 0.63 0 0
54 0.642 0 0
55 0.654 0 0
56 0.666 0 0
57 0.678 0 0
58 0.69 0 0
59 0.702 0 0
60 0.714 0 0
61 0.726 0 0
62 0.738 0 0
63 0.75 0 0
64 0.762 0 0
65 0.774 0 0
66 0.786 0 0
67 0.798 0 0
68 0.81 0 0
69 0.822 0 0
70 0.834 0 0
71 0.846 0 0
72 0.858 0 0
73 0.87 0 0
74 0.882 0 0
75 0.894 0 0
76 0.906 0 0
77 0.918 0 0
78 0.93 0 0
79 0.942 0 0
80 0.954 0 0
81 0.966 0 0
82 0.978 0 0
83 0.99 0 0
84 1.002 0 0
85 1.014 0 0
86 1.026 0 0
87 1.038 0 0
88 1.05 0 0
89 1.062 0 0
90 1.074 0 0
91 1.086 0 0
92 1.098 0 0
93 1.11 0 0
94 1.122 0 0
95 1.134 0 0
96 1.146 0 0
97 1.158 0 0
98 1.17 0 0
99 1.182 0 0
100 1.194 0 0
101 1.206 0 0
102 1.218 0 0
103 1.23 0 0
104 1.242 0 0
105 1.254 0 0
106 1.266 0 0
107 1.278 0 0
108 1.29 0 0
109 1.302 0 0
110 1.314 0 0
111 1.326 0 0
112 1.338 0 0
113 1.35 0 0
114 1.362 0 0
115 1.374 0 0
116 1.386 8.26298e-06 4e-07
117 1.398 1.62435e-05 1.2e-06
118 1.41 0.000119761 7.2e-06
119 1.422 0.000612292 3.84e-05
120 1.434 0.00291781 0.0001896
121 1.446 0.0133686 0.000894
122 1.458 0.0522319 0.003692
123 1.47 0.158577 0.0123272
124 1.482 0.421206 0.0356396
125 1.494 0.956698 0.0894508
126 1.506 1.86206 0.195875
127 1.518 3.19071 0.381154
128 1.53 4.78663 0.663518
129 1.542 6.3817 1.0459
130 1.554 7.60267 1.50857
131 1.566 8.12769 2.01085
132 1.578 7.83368 2.50241
133 1.59 6.87635 2.94048
134 1.602 5.49354 3.29576
135 1.614 4.04893 3.56156
136 1.626 2.73567 3.74382
137 1.638 1.7066 3.85921
138 1.65 0.992008 3.92727
139 1.662 0.535624 3.96455
140 1.674 0.270378 3.98364
141 1.686 0.129433 3.99291
142 1.698 0.0575149 3.99709
143 1.71 0.0237873 3.99885
144 1.722 0.00959794 3.99956
145 1.734 0.00365319 3.99984
146 1.746 0.00140585 3.99995
147 1.758 0.000400609 3.99998
148 1.77 0.000177331 3.99999
149 1.782 5.49847e-05 4
150 1.794 2.95918e-05 4
151 1.806 9.73327e-06 4
152 1.818 0 4
153 1.83 0 4
154 1.842 0 4
155 1.854 0 4
156 1.866 0 4
157 1.878 0 4
158 1.89 0 4
159 1.902 0 4
160 1.914 0 4
161 1.926 0 4
162 1.938 0 4
163 1.95 0 4
164 1.962 0 4
165 1.974 0 4
166 1.986 0 4
167 1.998 0 4
168 2.01 0 4
169 2.022 0 4
170 2.034 0 4
171 2.046 0 4
172 2.058 0 4
173 2.07 0 4
174 2.082 0 4
175 2.094 0 4
176 2.106 0 4
177 2.118 0 4
178 2.13 0 4
179 2.142 0 4
180 2.154 0 4
181 2.166 0 4
182 2.178 0 4
183 2.19 0 4
184 2.202 0 4
185 2.214 0 4
186 2.226 0 4
187 2.238 0 4
188 2.25 0 4
189 2.262 0 4
190 2.274 0 4
191 2.286 0 4
192 2.298 0 4
193 2.31 0 4
194 2.322 0 4
195 2.334 0 4
196 2.346 2.30727e-05 4
197 2.358 2.85481e-05 4.00001
198 2.37 0.000163907 4.00003
199 2.382 0.000489575 4.0001
200 2.394 0.00175869 4.00035
201 2.406 0.00576377 4.0012
202 2.418 0.0165961 4.00364
203 2.43 0.0441313 4.01021
204 2.442 0.110291 4.02678
205 2.454 0.247477 4.06434
206 2.466 0.513242 4.14299
207 2.478 0.964413 4.29222
208 2.49 1.67834 4.55444
209 2.502 2.66603 4.97501
210 2.514 3.90279 5.59659
211 2.526 5.26675 6.44344
212 2.538 6.57155 7.51015
213 2.55 7.56771 8.7502
214 2.562 8.04715 10.0813
215 2.574 7.90979 11.4019
216 2.586 7.19242 12.6139
217 2.598 6.05407 13.6437
218 2.61 4.72654 14.455
219 2.622 3.41125 15.046
220 2.634 2.29128 15.4466
221 2.646 1.4297 15.6989
222 2.658 0.827376 15.8462
223 2.67 0.445804 15.9262
224 2.682 0.223545 15.9668
225 2.694 0.10462 15.9859
226 2.706 0.0463379 15.9944
227 2.718 0.018689 15.9979
228 2.73 0.00735422 15.9993
229 2.742 0.00243844 15.9998
230 2.754 0.000820396 15.9999
231 2.766 0.000265565 16
232 2.778 0.000119297 16
233 2.79 0.000146821 16
234 2.802 0.000307307 16.0001
235 2.814 0.000908061 16.0003
236 2.826 0.0023652 16.0007
237 2.838 0.00641886 16.002
238 2.85 0.0162768 16.0054
239 2.862 0.0370503 16.013
240 2.874 0.0801802 16.0297
241 2.886 0.163836 16.0641
242 2.898 0.313537 16.1305
243 2.91 0.560378 16.25
244 2.922 0.939832 16.4523
245 2.934 1.46723 16.7705
246 2.946 2.15342 17.2415
247 2.958 2.95983 17.8941
248 2.97 3.80909 18.7408
249 2.982 4.56627 19.764
250 2.994 5.13824 20.9247
251 3.006 5.41196 22.1571
252 3.018 5.32515 23.3793
253 3.03 4.90159 24.5133
254 3.042 4.21981 25.4974
255 3.054 3.3937 26.295
256 3.066 2.55425 26.9001
257 3.078 1.80069 27.33
258 3.09 1.18311 27.6146
259 3.102 0.727913 27.7911
260 3.114 0.419034 27.8935
261 3.126 0.224973 27.9489
262 3.138 0.11343 27.9771
263 3.15 0.053018 27.9903
264 3.162 0.0232361 27.9962
265 3.174 0.00944742 27.9986
266 3.186 0.00363265 27.9995
267 3.198 0.00128355 27.9998
268 3.21 0.000439036 28
269 3.222 0.000151373 28
