# Time-averaged data for fix rdfave
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
500000 500
1 0.006 0 0
2 0.018 0 0
3 0.03 0 0
4 0.042 0 0
5 0.054 0 0
6 0.066 0 0
7 0.078 0 0
8 0.09 0 0
9 0.102 0 0
10 0.114 0 0
11 0.126 0 0
12 0.138 0 0
13 0.15 0 0
14 0.162 0 0
15 0.174 0 0
16 0.186 0 0
17 0.198 0 0
18 0.21 0 0
19 0.222 0 0
20 0.234 0 0
21 0.246 0 0
22 0.258 0 0
23 0.27 0 0
24 0.282 0 0
25 0.294 0 0
26 0.306 0 0
27 0.318 0 0
28 0.33 0 0
29 0.342 0 0
30 0.354 0 0
31 0.366 0 0
32 0.378 0 0
33 0.39 0 0
34 0.402 0 0
35 0.414 0 0
36 0.426 0 0
37 0.438 0 0
38 0.45 0 0
39 0.462 0 0
40 0.474 0 0
41 0.486 0 0
42 0.498 0 0
43 0.51 0 0
44 0.522 0 0
45 0.534 0 0
46 0.546 0 0
47 0.558 0 0
48 0.57 0 0
49 0.582 0 0
50 0.594 0 0
51 0.606 0 0
52 0.618 0 0
53 0.63 0 0
54 0.642 0 0
55 0.654 0 0
56 0.666 0 0
57 0.678 0 0
58 0.69 0 0
59 0.702 0 0
60 0.714 0 0
61 0.726 0 0
62 0.738 0 0
63 0.75 0 0
64 0.762 0 0
65 0.774 0 0
66 0.786 0 0
67 0.798 0 0
68 0.81 0 0
69 0.822 0 0
70 0.834 0 0
71 0.846 0 0
72 0.858 0 0
73 0.87 0 0
74 0.882 0 0
75 0.894 0 0
76 0.906 0 0
77 0.918 0 0
78 0.93 0 0
79 0.942 0 0
80 0.954 0 0
81 0.966 0 0
82 0.978 0 0
83 0.99 0 0
84 1.002 0 0
85 1.014 0 0
86 1.026 0 0
87 1.038 0 0
88 1.05 0 0
89 1.062 0 0
90 1.074 0 0
91 1.086 0 0
92 1.098 0 0
93 1.11 0 0
94 1.122 0 0
95 1.134 0 0
96 1.146 0 0
97 1.158 0 0
98 1.17 0 0
99 1.182 0 0
100 1.194 0 0
101 1.206 0 0
102 1.218 0 0
103 1.23 0 0
104 1.242 0 0
105 1.254 0 0
106 1.266 0 0
107 1.278 0 0
108 1.29 0 0
109 1.302 0 0
110 1.314 0 0
111 1.326 0 0
112 1.338 0.0163861 8e-05
113 1.35 0.0869187 0.000512
114 1.362 0.60092 0.003552
115 1.374 2.47375 0.016288
116 1.386 7.71784 0.05672
117 1.398 19.6687 0.161552
118 1.41 39.2359 0.37428
119 1.422 62.4309 0.718552
120 1.434 81.1297 1.17352
121 1.446 88.8534 1.68018
122 1.458 80.2388 2.14534
123 1.47 61.1273 2.50556
124 1.482 39.8329 2.74414
125 1.494 22.7383 2.88255
126 1.506 11.1065 2.95125
127 1.518 4.85412 2.98175
128 1.53 1.93612 2.99411
129 1.542 0.625499 2.99817
130 1.554 0.200433 2.99949
131 1.566 0.0526328 2.99984
132 1.578 0.0188492 2.99997
133 1.59 0.00464145 3
134 1.602 0 3
135 1.614 0 3
136 1.626 0 3
137 1.638 0 3
138 1.65 0 3
139 1.662 0 3
140 1.674 0 3
141 1.686 0 3
142 1.698 0 3
143 1.71 0 3
144 1.722 0 3
145 1.734 0 3
146 1.746 0 3
147 1.758 0 3
148 1.77 0 3
149 1.782 0 3
150 1.794 0 3
151 1.806 0 3
152 1.818 0 3
153 1.83 0 3
154 1.842 0 3
155 1.854 0 3
156 1.866 0 3
157 1.878 0 3
158 1.89 0 3
159 1.902 0 3
160 1.914 0 3
161 1.926 0 3
162 1.938 0 3
163 1.95 0 3
164 1.962 0 3
165 1.974 0 3
166 1.986 0 3
167 1.998 0 3
168 2.01 0 3
169 2.022 0 3
170 2.034 0 3
171 2.046 0 3
172 2.058 0 3
173 2.07 0 3
174 2.082 0 3
175 2.094 0 3
176 2.106 0 3
177 2.118 0 3
178 2.13 0 3
179 2.142 0 3
180 2.154 0 3
181 2.166 0 3
182 2.178 0 3
183 2.19 0 3
184 2.202 0 3
185 2.214 0 3
186 2.226 0 3
187 2.238 0 3
188 2.25 0 3
189 2.262 0 3
190 2.274 0 3
191 2.286 0 3
192 2.298 0 3
193 2.31 0 3
194 2.322 0.000544082 3.00001
195 2.334 0.000538502 3.00002
196 2.346 0.00319804 3.00006
197 2.358 0.019521 3.00036
198 2.37 0.0631942 3.00133
199 2.382 0.210943 3.00459
200 2.394 0.510824 3.01258
201 2.406 1.34189 3.03376
202 2.418 3.02196 3.08194
203 2.43 5.99978 3.17856
204 2.442 10.9542 3.3567
205 2.454 17.7006 3.6474
206 2.466 26.154 4.08114
207 2.478 34.7704 4.66339
208 2.49 41.4523 5.36428
209 2.502 44.2427 6.11958
210 2.514 42.8902 6.85882
211 2.526 37.7129 7.51506
212 2.538 30.1256 8.04426
213 2.55 21.8436 8.43161
214 2.562 14.3247 8.68802
215 2.574 8.47759 8.8412
216 2.586 4.62571 8.92556
217 2.598 2.28611 8.96764
218 2.61 1.04945 8.98714
219 2.622 0.435235 8.9953
220 2.634 0.156444 8.99826
221 2.646 0.0611733 8.99942
222 2.658 0.0191002 8.99979
223 2.67 0.00617245 8.99991
224 2.682 0.00326258 8.99998
225 2.694 0.00282938 9.00003
226 2.706 0.000801242 9.00005
227 2.718 0.00317673 9.00011
228 2.73 0.0106274 9.00033
229 2.742 0.0277021 9.0009
230 2.754 0.0947605 9.00286
231 2.766 0.207818 9.00719
232 2.778 0.465271 9.01698
233 2.79 0.903712 9.03617
234 2.802 1.65597 9.07162
235 2.814 2.87625 9.13374
236 2.826 4.48755 9.23147
237 2.838 6.62408 9.37697
238 2.85 8.98313 9.57595
239 2.862 11.401 9.83062
240 2.874 13.3445 10.1312
241 2.886 14.4954 10.4605
242 2.898 14.4116 10.7905
243 2.91 13.2475 11.0965
244 2.922 11.5275 11.3649
245 2.934 9.05953 11.5776
246 2.946 6.70332 11.7362
247 2.958 4.54255 11.8446
248 2.97 2.92291 11.9149
249 2.982 1.71281 11.9564
250 2.994 0.935948 11.9793
251 3.006 0.457427 11.9906
252 3.018 0.21772 11.996
253 3.03 0.0990525 11.9985
254 3.042 0.036773 11.9994
255 3.054 0.0163551 11.9998
256 3.066 0.00312065 11.9999
257 3.078 0.00216745 12
258 3.09 0.000921708 12
259 3.102 0.000304864 12
260 3.114 0 12
261 3.126 0 12
262 3.138 0 12
263 3.15 0 12
264 3.162 0 12
265 3.174 0 12
266 3.186 0 12
267 3.198 0 12
268 3.21 0 12
269 3.222 0 12
270 3.234 0 12
271 3.246 0 12
272 3.258 0 12
273 3.27 0 12
274 3.282 0 12
275 3.294 0 12
276 3.306 0 12
277 3.318 0 12
278 3.33 0 12
279 3.342 0 12
280 3.354 0 12
281 3.366 0 12
282 3.378 0 12
283 3.39 0 12
284 3.402 0 12
285 3.414 0 12
