lz: 70.940956241359799606 Vol: 29292.211033872561529 PE: -559042.445275981  Pxx: -0.310599603063401 Pyy: 0.0103362087099093 Pzz: -0.25240509522385 
lz: 71.082838153842502038 Vol: 29316.25265889086586 PE: -559044.115546654  Pxx: -0.382612524482944 Pyy: 0.00219177103800516 Pzz: 0.0792612007586194 
lz: 71.22472006632519026 Vol: 29406.088511837941041 PE: -559047.810617729  Pxx: -0.314909371122986 Pyy: -0.00346449059382606 Pzz: 0.328266752052694 
lz: 71.366601978807992168 Vol: 29401.373810071250773 PE: -559047.230207523  Pxx: -0.182422927936981 Pyy: -0.0084531392844377 Pzz: 0.651778032391695 
lz: 71.508483891290694601 Vol: 29455.810964831460296 PE: -559047.087401361  Pxx: -0.0263580627571904 Pyy: -0.00498209167700763 Pzz: 1.03481039604954 
lz: 71.650365803773397033 Vol: 29454.697549230691948 PE: -559048.97030593  Pxx: -0.0220867544582029 Pyy: 0.00130467403468024 Pzz: 1.32780058694963 
lz: 71.792247716256099466 Vol: 29557.168060720960057 PE: -559049.532790783  Pxx: 0.0611519756517348 Pyy: 0.00216029150015674 Pzz: 1.59036892265708 
lz: 71.934129628738801898 Vol: 29531.442213950598671 PE: -559050.904551418  Pxx: 0.0659739891099043 Pyy: -0.0035379398541678 Pzz: 1.93734962013239 
lz: 72.076011541221589596 Vol: 29572.475952623659396 PE: -559049.820172319  Pxx: 0.163279841717242 Pyy: 0.000417746029871862 Pzz: 2.1745626550179 
lz: 72.217893453704292028 Vol: 29581.368205187936837 PE: -559049.166152608  Pxx: 0.196704049401305 Pyy: -0.00130373979558257 Pzz: 2.52704314510054 
lz: 72.359775366186994461 Vol: 29626.510275380474923 PE: -559049.066121184  Pxx: 0.287918726909247 Pyy: -0.00185245609011858 Pzz: 2.87810076491744 
lz: 72.501657278669696893 Vol: 29673.991424697931507 PE: -559047.336293152  Pxx: 0.366865601666344 Pyy: 0.00497378684532649 Pzz: 3.2258499385111 
lz: 72.643539191152399326 Vol: 29715.906873348543741 PE: -559045.752264883  Pxx: 0.43002405000196 Pyy: 0.00594209639312663 Pzz: 3.57939528219571 
lz: 72.785421103635201234 Vol: 29773.275434437098738 PE: -559045.55672463  Pxx: 0.467557373981371 Pyy: 0.015023956411164 Pzz: 3.89683555699365 
lz: 72.927303016117889456 Vol: 29778.982473490414122 PE: -559043.290253863  Pxx: 0.604004722637968 Pyy: -0.000258756127256643 Pzz: 4.26090360582417 
lz: 73.069184928600591888 Vol: 29782.116507658993214 PE: -559043.423836404  Pxx: 0.618950351014816 Pyy: -0.000984457774375696 Pzz: 4.49426565898288 
lz: 73.211066841083294321 Vol: 29836.035590952342318 PE: -559041.194963767  Pxx: 0.743748475483904 Pyy: -0.00589368878205855 Pzz: 4.8590644196925 
lz: 73.352948753565996753 Vol: 29838.936620738830243 PE: -559040.956901572  Pxx: 0.746245839329231 Pyy: -0.00622444759498212 Pzz: 5.00109362820362 
lz: 73.494830666048798662 Vol: 29904.416113931612927 PE: -559042.556873414  Pxx: 0.803695078300196 Pyy: -0.00987935588467589 Pzz: 5.38320821343842 
