lz: 67.352994604613911633 Vol: 393648.42323419521563 PE: -2321161.14092964  Pxx: 0.00155093947674509 Pyy: 0.00138462603392143 Pzz: -0.0546097478908206 
lz: 67.487700593823106487 Vol: 394188.88854566408554 PE: -2321268.80678651  Pxx: -0.00132470708341485 Pyy: 7.49844658239007e-05 Pzz: -0.0490386497781913 
lz: 67.622406583032400818 Vol: 395019.82137431832962 PE: -2321345.44424467  Pxx: -0.000638062818838863 Pyy: -0.000619650607951141 Pzz: -0.0428405318218666 
lz: 67.757112572241609882 Vol: 391031.20418539567618 PE: -2321416.43578883  Pxx: -0.000339376705617419 Pyy: -0.00161694723692435 Pzz: -0.0236522986144388 
lz: 67.891818561450804737 Vol: 392800.79775232629618 PE: -2321474.63104468  Pxx: 0.000991563745433448 Pyy: -0.000451812231165835 Pzz: -0.0197580145454067 
lz: 68.026524550659999591 Vol: 391562.00779816252179 PE: -2321540.6526269  Pxx: -0.000628867785346429 Pyy: -0.000215476559335854 Pzz: -0.00492415335408578 
lz: 68.161230539869308132 Vol: 389809.12831015372649 PE: -2321587.60849299  Pxx: 0.00103540735451619 Pyy: 0.00336300664921257 Pzz: 0.00497510151559288 
lz: 68.295936529078502986 Vol: 390986.52803969575325 PE: -2321624.93489853  Pxx: 0.00259327600420132 Pyy: 0.00207392619184967 Pzz: 0.0180168507598138 
lz: 68.430642518287712051 Vol: 390251.51714614627417 PE: -2321655.14838942  Pxx: 0.000182868693938512 Pyy: -0.0025394480888366 Pzz: 0.027283562330234 
lz: 68.565348507496906905 Vol: 389646.1247388816555 PE: -2321686.52259783  Pxx: -0.00186866836810301 Pyy: -0.00346591061741103 Pzz: 0.0437663289783763 
lz: 68.700054496706201235 Vol: 389122.19990464067087 PE: -2321737.81897172  Pxx: 0.000525609673666434 Pyy: 1.00910041193964e-05 Pzz: 0.0462440525336529 
lz: 68.8347604859154103 Vol: 388550.5530358547694 PE: -2321767.2966459  Pxx: -0.00124838864640787 Pyy: 0.00277451273357898 Pzz: 0.0619588977343505 
lz: 68.969466475124605154 Vol: 389929.66268575750291 PE: -2321815.49673424  Pxx: 0.000307913142269317 Pyy: -0.000527644061864899 Pzz: 0.066773575052948 
lz: 69.104172464333899484 Vol: 390309.22556539031211 PE: -2321859.83973379  Pxx: 9.33473876827833e-05 Pyy: 0.00168928079472158 Pzz: 0.0710079689229376 
lz: 69.238878453543108549 Vol: 390652.9842069823062 PE: -2321888.95325929  Pxx: 0.000334563403635567 Pyy: -0.0013709690680589 Pzz: 0.0785547436363063 
lz: 69.373584442752303403 Vol: 390402.54858136666007 PE: -2321896.21202881  Pxx: -8.58603615423269e-05 Pyy: -1.02404174256036e-05 Pzz: 0.0955927462825354 
lz: 69.508290431961512468 Vol: 390813.82468200440053 PE: -2321914.97019622  Pxx: 0.000246287379365363 Pyy: 0.00280037263944489 Pzz: 0.101409729943505 
lz: 69.642996421170806798 Vol: 389865.41038409684552 PE: -2321926.33682059  Pxx: 0.000437555853016533 Pyy: -0.00240646175228009 Pzz: 0.114431670020275 
lz: 69.777702410380001652 Vol: 389427.02573403489077 PE: -2321938.48945472  Pxx: 0.000770672065101621 Pyy: 2.82315096518214e-05 Pzz: 0.119517287723205 
lz: 69.912408399589210717 Vol: 388984.39361800433835 PE: -2321954.18627452  Pxx: 0.000269967623838582 Pyy: -3.88049941468258e-05 Pzz: 0.120966402845503 
lz: 70.047114388798405571 Vol: 389783.69388460624032 PE: -2321968.03082483  Pxx: 0.00021911406231439 Pyy: 0.000441841135200681 Pzz: 0.127656982483873 
lz: 70.181820378007699901 Vol: 390301.72428692184621 PE: -2321979.43503533  Pxx: 0.0024207527154455 Pyy: -0.00133861022615616 Pzz: 0.131422702660906 
lz: 70.316526367216908966 Vol: 389474.27280920807971 PE: -2321992.27536711  Pxx: -0.0027424411664123 Pyy: -0.000747101459035337 Pzz: 0.152455890517161 
lz: 70.45123235642610382 Vol: 389576.43863352760673 PE: -2321999.18685211  Pxx: -0.00211004680799158 Pyy: -0.000244303964768339 Pzz: 0.162373727750817 
lz: 70.585938345635412361 Vol: 390050.55451755365357 PE: -2322009.35806615  Pxx: -0.00071223332899037 Pyy: 1.39646778461757e-05 Pzz: 0.174237981736012 
lz: 70.720644334844607215 Vol: 390421.73597630276345 PE: -2322029.0072783  Pxx: -0.00027711673417212 Pyy: -0.00138324694789721 Pzz: 0.182454145868446 
lz: 70.855350324053802069 Vol: 390588.57950849732151 PE: -2322047.7096148  Pxx: -0.00105494770775658 Pyy: 0.00221275898537345 Pzz: 0.195231133787467 
lz: 70.990056313263011134 Vol: 389412.20665685716085 PE: -2322052.5181469  Pxx: -2.83886710066821e-05 Pyy: 0.000812053781609904 Pzz: 0.212581480596875 
lz: 71.124762302472305464 Vol: 389334.99442868639017 PE: -2322060.00611554  Pxx: -0.00064106494963216 Pyy: 0.00070734917291315 Pzz: 0.225777716338148 
lz: 71.259468291681500318 Vol: 389134.27743890427519 PE: -2322070.03031638  Pxx: -5.68566970901543e-07 Pyy: 0.00317167462237031 Pzz: 0.224589516471715 
lz: 71.394174280890709383 Vol: 390209.9783653508639 PE: -2322072.41366874  Pxx: -0.000117400813781329 Pyy: 0.00104030120603064 Pzz: 0.235870758311841 
lz: 71.528880270100003713 Vol: 388497.91642629174748 PE: -2322075.12432674  Pxx: 0.00267069321240682 Pyy: -8.15564073792697e-05 Pzz: 0.266329500877534 
lz: 71.663586259309212778 Vol: 389109.99306104989955 PE: -2322080.4211362  Pxx: -0.00313473047576213 Pyy: 0.000632017029368299 Pzz: 0.280414494170848 
lz: 71.798292248518407632 Vol: 389065.48353111348115 PE: -2322085.61927221  Pxx: -0.000247059855666945 Pyy: 0.00133252409459314 Pzz: 0.285033848852542 
lz: 71.932998237727602486 Vol: 388642.8618961594766 PE: -2322087.75478467  Pxx: -0.000694872303993863 Pyy: 0.000188887818390136 Pzz: 0.303557353735023 
lz: 72.067704226936911027 Vol: 389903.1808519885526 PE: -2322095.57705859  Pxx: -0.00102884900934928 Pyy: -2.35613848546937e-05 Pzz: 0.315674140825783 
lz: 72.202410216146105881 Vol: 387929.28869826730806 PE: -2322106.17284319  Pxx: -0.00142369718581518 Pyy: 0.000878768579158725 Pzz: 0.334296744252355 
lz: 72.337116205355300735 Vol: 388773.4022075398243 PE: -2322117.77611706  Pxx: 0.00104498174466756 Pyy: -0.0023450136469341 Pzz: 0.339847160398559 
lz: 72.4718221945645098 Vol: 388083.45409200078575 PE: -2322121.49954115  Pxx: 0.000429201032425644 Pyy: -0.000330734665743696 Pzz: 0.344229884163525 
lz: 72.60652818377380413 Vol: 389461.93250059057027 PE: -2322125.05082706  Pxx: 0.00025807460356493 Pyy: 0.00123107552798553 Pzz: 0.352651379039423 
lz: 72.741234172982998984 Vol: 388397.80844427662669 PE: -2322134.51678328  Pxx: 0.000451164458294505 Pyy: 0.00058339461055124 Pzz: 0.366122158617343 
lz: 72.875940162192208049 Vol: 389417.25197377958102 PE: -2322137.97674428  Pxx: -0.000551256924755192 Pyy: -0.000410048845544622 Pzz: 0.376781644177457 
lz: 73.010646151401502379 Vol: 389631.48310335434508 PE: -2322142.05805951  Pxx: 0.00122382777939382 Pyy: -0.00153178257733396 Pzz: 0.392981446617698 
lz: 73.145352140610711444 Vol: 388418.6363905686303 PE: -2322144.3803164  Pxx: -0.0010584672347383 Pyy: -0.000153263789203711 Pzz: 0.414858023780591 
lz: 73.280058129819906299 Vol: 388769.72118189843604 PE: -2322147.8906698  Pxx: -0.00103809711284838 Pyy: 0.0011498742543547 Pzz: 0.425065331636231 
lz: 73.414764119029101153 Vol: 388070.68723493110156 PE: -2322152.2775056  Pxx: -0.00236093232037671 Pyy: -0.000234699264647572 Pzz: 0.432912949265673 
lz: 73.549470108238409694 Vol: 388510.9952120364178 PE: -2322160.03270236  Pxx: 0.00126909404847015 Pyy: -0.000332335696215318 Pzz: 0.444988940381115 
lz: 73.684176097447604548 Vol: 385625.1311494007241 PE: -2322163.8178872  Pxx: 0.00140911996344214 Pyy: 0.00188859649865415 Pzz: 0.46624913190793 
lz: 73.818882086656799402 Vol: 387827.79557699739235 PE: -2322169.66737652  Pxx: 0.000271526475712992 Pyy: -0.001158538732047 Pzz: 0.491362445517467 
lz: 73.953588075866107943 Vol: 386643.05837206798606 PE: -2322173.05788544  Pxx: -0.000729425951100151 Pyy: 0.00208590197405476 Pzz: 0.501818136378371 
lz: 74.088294065075302797 Vol: 387767.20433050673455 PE: -2322181.62733978  Pxx: -0.00198300036318892 Pyy: -0.000619783077950442 Pzz: 0.51360231289476 
lz: 74.223000054284511862 Vol: 386991.08162701991387 PE: -2322185.5244141  Pxx: 0.0017688059126477 Pyy: -0.00164228802135274 Pzz: 0.535323114922349 
lz: 74.357706043493706716 Vol: 387178.83200152846985 PE: -2322187.9538705  Pxx: 0.000457170015828163 Pyy: -0.000734002195621926 Pzz: 0.564291799074423 
lz: 74.492412032703001046 Vol: 386210.05164445575792 PE: -2322190.46913345  Pxx: 0.0011823287719854 Pyy: 0.000734700944964108 Pzz: 0.581245242968634 
lz: 74.627118021912210111 Vol: 386416.3625432549743 PE: -2322192.38769233  Pxx: -0.0003156172456359 Pyy: 0.000266608019904773 Pzz: 0.592272940166289 
lz: 74.761824011121404965 Vol: 386273.45360099751269 PE: -2322194.08403497  Pxx: -0.000942810084411297 Pyy: -0.00179946781011139 Pzz: 0.610266022392447 
lz: 74.896530000330699295 Vol: 385753.86701484880177 PE: -2322198.16814529  Pxx: 0.000782532479346555 Pyy: 0.00053790402641762 Pzz: 0.626314132486458 
lz: 75.03123598953990836 Vol: 385401.10375905514229 PE: -2322194.8920149  Pxx: 0.000834334469047952 Pyy: -0.00043232070923643 Pzz: 0.652371877493047 
lz: 75.165941978749103214 Vol: 385333.75606142071774 PE: -2322198.03125143  Pxx: -0.000156468691129238 Pyy: 0.00127755698565575 Pzz: 0.669549941859697 
lz: 75.300647967958312279 Vol: 384940.8388497387059 PE: -2322204.2041485  Pxx: 0.00043130733224516 Pyy: 0.00072059240407226 Pzz: 0.693456780987625 
lz: 75.435353957167606609 Vol: 384870.47990877582924 PE: -2322214.03982149  Pxx: 0.00043768210065893 Pyy: -0.000949267842766851 Pzz: 0.692949006712894 
lz: 75.570059946376801463 Vol: 385408.07649852620671 PE: -2322219.52815946  Pxx: -0.000430868898041081 Pyy: -0.00014064350808075 Pzz: 0.718073603901842 
lz: 75.704765935586010528 Vol: 384201.889426428359 PE: -2322221.35023583  Pxx: -0.000195941077291313 Pyy: 0.000333744128793096 Pzz: 0.736484226029066 
lz: 75.839471924795205382 Vol: 386754.79836019856157 PE: -2322225.16179387  Pxx: -3.07567485324961e-05 Pyy: -0.00161838584812048 Pzz: 0.762937610449146 
lz: 75.974177914004499712 Vol: 383686.25912679720204 PE: -2322227.94083232  Pxx: -6.72418146603555e-05 Pyy: 0.000306257008204428 Pzz: 0.778085398098292 
lz: 76.108883903213708777 Vol: 384233.48897279222729 PE: -2322234.50414851  Pxx: 0.000272586158413228 Pyy: -0.000135870330512337 Pzz: 0.794346424874838 
lz: 76.243589892422903631 Vol: 382740.17278129013721 PE: -2322235.33722135  Pxx: 0.000933412603059694 Pyy: 0.00125418901820667 Pzz: 0.814821099000399 
